round_epochs,val_loss,val_f1,val_accuracy,loss,f1,accuracy,visualize_proccess,first_neuron,activation,dropout,number_of_hidden_layers,shapes,epochs,batch_size,model_type
5,0.6070285134088426,0.5721390002682095,0.9827202033996582,0.46003325365027603,0.644061852425945,0.9858851734472781,False,64,tanh,0.4,1,funnel,5,64,keras_tf_idf_model
15,0.6005021908169701,0.7198735527765183,0.9828988062767755,0.2079536756994773,0.7404473782315546,0.9932346886031481,False,64,tanh,0.4,1,funnel,15,32,keras_tf_idf_model
10,0.5824174087955838,0.6752650740033105,0.9835297332491193,0.20086382465703148,0.6924713967284378,0.9936326376759276,False,128,relu,0.4,1,funnel,10,64,keras_tf_idf_model
10,0.5960207706406003,0.7252841838200887,0.9832559447061447,0.26632060460898344,0.7457101754266389,0.9914387718512088,False,64,tanh,0.4,1,funnel,10,32,keras_tf_idf_model
10,0.5868989617483956,0.7435776223455156,0.9830475882121494,0.07710268285505625,0.7857627729493745,0.9979387750430982,False,128,relu,0.2,1,funnel,10,64,keras_tf_idf_model
5,0.5871737735612051,0.7774026120276678,0.9828332973661877,0.17923062573890297,0.8353975087769178,0.9947040684369146,False,128,tanh,0.2,1,funnel,5,64,keras_tf_idf_model
5,0.5958739300568898,0.6724728649003165,0.9829761577787853,0.2932108997568792,0.7628349853048519,0.9911275286577186,False,64,tanh,0.2,1,funnel,5,64,keras_tf_idf_model
15,0.672952706246149,0.4172580675284068,0.9803571028936477,0.8972999186418494,0.3257046531414499,0.9703570810629397,False,64,relu,0.6,1,funnel,15,64,keras_tf_idf_model
15,0.6122246534483773,0.5642021216664995,0.9828213943753924,0.12266888846852342,0.6367407446978044,0.9962040732831371,False,64,relu,0.2,1,funnel,15,64,keras_tf_idf_model
5,0.6185005166417077,0.5521767884209042,0.9825714185124352,0.7716124592995157,0.5337755584716797,0.9758902911264069,False,64,tanh,0.6,1,funnel,5,32,keras_tf_idf_model
5,0.5869151492345901,0.7949712763513838,0.9830714232581003,0.24376798123121263,0.8243274130626601,0.9923341795376369,False,128,tanh,0.4,1,funnel,5,32,keras_tf_idf_model
10,0.623676743450619,0.5685761666297913,0.9831845192682176,0.4183281366070922,0.5550186146035486,0.9863239727214891,False,64,relu,0.4,1,funnel,10,32,keras_tf_idf_model
5,0.6060861829348972,0.7231226446515038,0.982839287008558,0.35248906540627384,0.7411196994781494,0.9890050960073665,False,64,relu,0.2,1,funnel,5,32,keras_tf_idf_model
15,0.5864962356998807,0.7840265981356302,0.9835714213053386,0.07952647503921573,0.827678502433154,0.9974744848329193,False,128,tanh,0.4,1,funnel,15,32,keras_tf_idf_model
5,0.6476683940206255,0.34256111633209957,0.9816071002823966,0.7590676014763968,0.4219457644589093,0.9757346432549613,False,64,relu,0.4,1,funnel,5,64,keras_tf_idf_model
10,0.5962865665980748,0.6016760702360244,0.9827856837000166,0.21668784876259006,0.6671661583258182,0.9931377362718388,False,64,relu,0.2,1,funnel,10,64,keras_tf_idf_model
15,0.5975132098084405,0.7683701609429859,0.9826071409952073,0.024026491037493915,0.8588414177116083,0.9993290803870376,False,128,tanh,0.2,1,funnel,15,32,keras_tf_idf_model
10,0.6248699218318576,0.5773598943437849,0.9825476128714425,0.6029325541428158,0.5466246453596622,0.9806964194531343,False,64,tanh,0.6,1,funnel,10,32,keras_tf_idf_model
5,0.5886568669478098,0.6062175851776487,0.9833868980407715,0.6530295419206424,0.5598358242183316,0.9794770278249468,False,128,relu,0.6,1,funnel,5,32,keras_tf_idf_model
5,0.6073946062156133,0.7118130037898109,0.9829761834371658,0.4055537202650187,0.7329811428517712,0.9874642778902638,False,64,tanh,0.4,1,funnel,5,32,keras_tf_idf_model
10,0.6070049986385164,0.5697864472298395,0.9831368727911086,0.28896632447534676,0.6484605920558073,0.9910101848719072,False,64,tanh,0.4,1,funnel,10,64,keras_tf_idf_model
5,0.6322495805649531,0.34788594893046787,0.982023771036239,0.82668333700725,0.4119023228178219,0.9743035184120645,False,64,tanh,0.6,1,funnel,5,64,keras_tf_idf_model
5,0.7699948599224998,0.528586132242566,0.9764583088102795,1.1996625773760736,0.37304210516263026,0.9632219040150545,False,64,relu,0.6,1,funnel,5,32,keras_tf_idf_model
5,0.5766710958594368,0.7591733680452619,0.9835476164590745,0.3518256683860506,0.7539623853138515,0.9888902984346662,False,128,relu,0.4,1,funnel,5,32,keras_tf_idf_model
15,0.5806149083092099,0.7744216506821768,0.9831844888414656,0.022048447170503895,0.8357535544706851,0.9995178625534992,False,128,tanh,0.2,1,funnel,15,64,keras_tf_idf_model
10,0.5911654676142193,0.7522176827703203,0.9830475870768229,0.13481529216985313,0.7932287146607224,0.9958392750487035,False,128,tanh,0.4,1,funnel,10,64,keras_tf_idf_model
15,0.5802326372691563,0.7530754837535677,0.9833035671143304,0.08108617490651657,0.7479146389085419,0.9975153017044067,False,128,relu,0.4,1,funnel,15,32,keras_tf_idf_model
5,0.8013296632539658,0.3993383414972396,0.9750654246693565,1.300188147973041,0.3165455563457645,0.9615815484767057,False,64,relu,0.6,1,funnel,5,64,keras_tf_idf_model
10,0.5767647185779753,0.7908330313364664,0.9832916609446207,0.050351706349804085,0.8237996238105151,0.9987040797058417,False,128,relu,0.2,1,funnel,10,32,keras_tf_idf_model
10,0.5928948973474049,0.6630553992589315,0.9832499633516584,0.31943752084459576,0.6905220237556768,0.9900076304163251,False,128,tanh,0.6,1,funnel,10,64,keras_tf_idf_model
15,0.5914652140367599,0.7581608416920617,0.9836190459841774,0.2575618658017139,0.7463966997788877,0.9917193858477534,False,128,tanh,0.6,1,funnel,15,32,keras_tf_idf_model
10,0.5929513926165445,0.7557212215378171,0.9834880887894404,0.3055643961198476,0.746551264646102,0.9902678553425536,False,128,tanh,0.6,1,funnel,10,32,keras_tf_idf_model
5,0.598808536870139,0.7944902540388561,0.9827142815362839,0.13529939852198775,0.8620110855297166,0.9959260168854072,False,128,tanh,0.2,1,funnel,5,32,keras_tf_idf_model
