round_epochs,val_loss,val_f1,val_categorical_accuracy,loss,f1,categorical_accuracy,visualize_proccess,first_neuron,activation,dropout,number_of_hidden_layers,shapes,epochs,batch_size,model_type
30,0.9523143072128296,0.4213747471570969,0.7075,1.0651836559772492,0.40392922230277745,0.6587142857142857,False,128,relu,0.6,0,funnel,30,32,keras_sdr_embeddings_centroids_model
30,0.9933447489738464,0.3181517357826233,0.683,1.2495278438159398,0.2812048031772886,0.6029642857142857,False,128,tanh,0.6,1,funnel,30,32,keras_sdr_embeddings_centroids_model
20,0.9643194644451142,0.3916294519305229,0.68475,0.9996186813967568,0.3846519695137228,0.6815,False,128,relu,0.2,2,funnel,20,32,keras_sdr_embeddings_centroids_model
30,0.9001748046875,0.4392893707752228,0.7225,0.9691992910930088,0.4619330757345472,0.6911071428571428,False,128,tanh,0.6,0,funnel,30,64,keras_sdr_embeddings_centroids_model
