round_epochs,val_loss,val_f1,val_categorical_accuracy,loss,f1,categorical_accuracy,visualize_proccess,first_neuron,activation,dropout,number_of_hidden_layers,shapes,epochs,batch_size,model_type
20,1.067500666618347,0.40534261536598204,0.6565,1.2627027868543352,0.30281593476022994,0.5926428571428571,False,512,tanh,0.6,2,funnel,20,64,keras_sdr_embeddings_centroids_model
20,0.9407545223236083,0.44529161834716796,0.7125,1.0020016984939575,0.45143844624928064,0.6791428571428572,False,256,relu,0.6,0,funnel,20,64,keras_sdr_embeddings_centroids_model
30,1.0419952878952026,0.393812001824379,0.66975,1.2136520493371146,0.2960661101596696,0.6106785714285714,False,512,tanh,0.6,2,funnel,30,64,keras_sdr_embeddings_centroids_model
20,0.8963870296478271,0.5725959181785584,0.71675,0.7359140990461622,0.60972833274092,0.7528928571428571,False,256,tanh,0.2,0,funnel,20,32,keras_sdr_embeddings_centroids_model
30,0.9476957266330719,0.5679066736698151,0.71575,0.609688297697476,0.607844809804644,0.8005,False,512,relu,0.2,0,funnel,30,32,keras_sdr_embeddings_centroids_model
30,0.8802361249923706,0.5113825399875641,0.7225,0.6915522664615086,0.5361666626930237,0.7608571428571429,False,256,relu,0.2,1,funnel,30,64,keras_sdr_embeddings_centroids_model
